"Показник","Базисний період","Територіальний розріз","Тип товарів і послуг","Періодичність","2024-M01","2024-M02","2024-M03","2024-M04","2024-M05","2024-M06","2024-M07","2024-M08","2024-M09","2024-M10","2024-M11","2024-M12","2025-M01","2025-M02","2025-M03","2025-M04"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Житомирська","Дошкільна освіта","Місячна","50.55","50.55","50.55","50.55","50.55","55.61","55.61","55.61","50.55","50.55","50.55","50.55","50.55","50.55","50.55","50.55"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Житомирська","Послуги у сфері страхування особистого транспорту","Місячна","2005.03","2005.22","2118.23","2051.47","2051.47","2078.15","2066.14","2000.58","2043.73","2063.63","2083.68","2103.02","4306.2","4306.2","4432.49","4541.22"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Закарпатська","Рис","Місячна","54.28","52.93","52.47","53.9","54","53.46","53.74","54.97","55.02","55.62","54.65","55.08","55.37","55.35","54.89","54.86"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Закарпатська","Хліб пшеничний з борошна вищого ґатунку","Місячна","40.41","40.59","40.7","41.05","41.09","41.59","43.01","44.43","42.81","43.35","44.25","45.49","46.21","46.98","47.26","48.84"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Закарпатська","Хліб пшеничний з борошна першого ґатунку","Місячна","37.97","37.97","38.07","38.34","38.34","39.06","39.14","40.13","40.51","41.21","41.94","42.79","43.6","43.92","44.02","45.71"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Закарпатська","Хліб житній, житньо-пшеничний","Місячна","34.91","34.91","33.88","33.88","34.32","34.96","36.23","37.93","38.05","38.56","39.17","40.6","41.53","41.78","42.03","42.92"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Закарпатська","Батон","Місячна","25.41","25.43","25.65","24.88","25.27","25.38","25.59","25.74","27.46","27.65","28.91","29.57","29.7","29.6","29.82","30.26"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Закарпатська","Макаронні вироби з м’яких сортів пшениці","Місячна","30.32","30.25","30.26","30.22","30.52","30.76","31.55","32.38","32.78","33.45","34.58","35.16","35.71","36.19","35.87","36.39"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Закарпатська","Борошно пшеничне","Місячна","17.06","16.99","16.91","16.77","16.95","17.73","18.13","18.86","19.61","20.15","19.13","19.98","20.84","21.29","22.53","22.86"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Закарпатська","Крупи манні","Місячна","22.96","23.1","23.84","23.71","23.75","23.62","23.86","24.09","24.82","25.05","27.59","29.44","30.51","31.53","31.36","30.76"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Закарпатська","Крупи гречані","Місячна","33.72","29.28","28.02","26.83","27.16","29.32","29.43","29.69","29.53","30.68","31.85","33.63","34.86","35.7","36.94","37.5"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Закарпатська","Крупи ячні","Місячна","17.01","16.79","16.37","15.92","15.8","16.5","17.06","17.75","19.24","19.82","20.24","21.59","22.94","23.36","23.69","23.75"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Закарпатська","Пшоно","Місячна","25.9","24.9","23.9","23.39","22.93","23.24","22.59","22.58","22.82","23.21","22.63","22.84","22.94","23.42","23.99","24.02"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Закарпатська","Крупи пшеничні","Місячна","15.93","14.7","14.96","15.32","15.55","15.94","16.18","17.74","18.23","18.65","18.15","18.67","19.13","19.59","19.94","20.38"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Закарпатська","Яловичина","Місячна","268.45","280.32","280.25","288.59","285.62","285.9","284.35","284.49","290.97","291.07","300.45","306.43","310.37","312.53","312.36","324.88"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Закарпатська","Свинина","Місячна","192.83","186.15","181.41","177.68","178.28","174.13","176.14","179.1","180.62","184.66","185.66","181.85","183.82","183.98","183.73","203.21"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Закарпатська","Птиця (тушки курячі)","Місячна","91.16","89.68","88.92","89.1","89.88","88.31","85.99","86.86","89.32","92.83","93.49","93.69","94.22","93.09","96.51","103.22"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Закарпатська","Філе куряче","Місячна","166.99","162.09","164.55","166.28","166.05","157.54","162.09","164.22","169.53","167.7","172.87","176.03","171.93","170.29","172.52","181.58"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Закарпатська","Ковбаси варені першого ґатунку","Місячна","170.28","172.83","173.85","169.39","174.12","180.29","183.75","192.6","190.05","193.05","194.08","198.39","179.57","174.23","177.35","181.28"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Закарпатська","Риба морожена","Місячна","156.97","162.02","163.27","166.36","169.09","170.08","171.83","171.59","172.35","173.29","177.37","180.08","177.96","178.79","181.6","186.57"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Закарпатська","Молоко пастеризоване жирністю до 2,6% включно","Місячна","35.93","36.03","35.81","35.88","36.27","36.13","36.09","37.45","37.83","38.01","39.72","42.85","44.25","44.58","45.35","45.14"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Закарпатська","Сири м’які жирні","Місячна","180.21","183.17","184.92","184.42","178.8","185.15","187.63","188.41","189.69","196.29","207.04","216.23","221.55","223.93","227.28","229.51"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Закарпатська","Сметана жирністю до 15% включно","Місячна","107.77","109.3","110.01","110.25","111.4","111.72","110.54","111.65","114.02","115.35","122.86","126.17","129.32","131.86","130.35","131.45"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Закарпатська","Яйця","Місячна","47.95","45.92","36.17","29.43","25.43","32.52","27.17","29.59","33.05","40.73","63.65","63.2","45.43","46.36","55.38","54.02"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Закарпатська","Масло вершкове","Місячна","80.01","79.66","81.13","82.31","81.92","83.72","85.41","86.88","87.04","89.91","98.39","102.02","104.62","105.1","105.74","107.03"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Закарпатська","Олія соняшникова","Місячна","55.51","53.41","52.97","53.98","54.29","57.12","57.72","58.9","61.55","63.6","68.87","72.87","75.41","78.78","78.9","78.41"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Закарпатська","Сало","Місячна","187.47","189.42","193.26","194.67","195.73","197.32","198.11","199.13","199.87","201.31","201.7","201.7","200.74","200.74","200.74","200.74"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Закарпатська","Яблука","Місячна","18.13","19.24","20.4","20.6","21.47","22.47","21.95","22.4","22.57","26.44","30.5","31.17","32.53","32.92","34.21","39.93"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Закарпатська","Капуста білокачанна","Місячна","15.98","16.15","15.09","14.79","12.81","10.05","15.95","31.9","28.6","29.46","31.06","32.22","40.05","44.12","46.5","49.95"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Закарпатська","Цибуля ріпчаста","Місячна","17.48","17.44","17.77","17.8","24.98","23.24","15.01","16.21","16.07","17.54","19.76","19.2","19.19","18.06","17.01","19.78"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Закарпатська","Буряк","Місячна","14.79","16.49","16.83","18.2","22.66","30.24","19.01","14.28","15.14","17.31","18.44","19.4","22.29","22.03","22.68","28.26"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Закарпатська","Морква","Місячна","14.2","14.19","13.6","13.21","18.57","25.83","22.05","16.37","18.27","22.72","26.71","28.15","31.83","34.01","35.79","38.45"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Закарпатська","Картопля","Місячна","20.59","21.41","21.92","21.34","23.79","25.38","19.23","17.3","17.27","24.04","29.52","28.47","29.02","28.21","28.55","29.43"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Закарпатська","Цукор","Місячна","31.63","31.37","30.47","29.84","30.44","31.28","34.79","35.93","34.37","32.12","31.77","32.2","32.15","32.01","31.75","32.94"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Закарпатська","Молочні суміші для дитячого харчування","Місячна","130.64","129.99","130.51","130.79","131.77","132.44","133.74","133.52","131.18","133.39","136.41","136.95","134.8","134.89","136.18","138.76"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Закарпатська","Горілка","Місячна","118.92","118.85","120.95","122.62","124.01","123.39","123","118.32","119.41","122.07","118.54","116.83","120.68","120.3","121.33","123.52"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Закарпатська","Вина столові вітчизняні","Місячна","121.79","122.12","121.72","118.81","120.73","122.28","120.02","120.97","118.69","121","125.13","126.38","128.61","126.25","127.38","125.17"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Закарпатська","Пиво вітчизняних марок","Місячна","31.86","30.51","30.81","30.86","30.75","31.73","31.65","31.54","32.08","33.49","35.34","34.88","35.2","35.41","35.74","36.26"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Закарпатська","Сигарети з фільтром вітчизняних марок","Місячна","76.72","77.16","77.85","78.38","79.73","80.62","81.86","83.5","85.23","88.33","90.02","93.42","97.31","97.97","100.34","103.86"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Закарпатська","Сигарети з фільтром медіум класу","Місячна","84.4","85.13","86.36","87.52","89.42","89.92","91.47","92.8","94.64","97.13","98.76","101.78","104.79","106.79","109.21","112.16"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Закарпатська","Сигарети з фільтром преміум класу","Місячна","97.76","99.26","101.08","102.26","104.26","105.58","106.7","108.32","109.24","111.89","114.2","117.34","119.21","121.31","123.74","126.84"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Закарпатська","Сигарети без фільтру","Місячна","","","","","","","","","","","","","","","",""
"Середні споживчі ціни на товари (послуги)","Не застосовується","Закарпатська","Плата за оренду 1-кімнатної квартири","Місячна","12053.52","11917.77","11873.17","11772.19","11698.15","11698.15","11737.83","11737.83","11822.64","11822.64","11769.16","11769.16","11769.16","11769.16","11769.16","11887.96"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Закарпатська","Антибіотики вітчизняні","Місячна","59.47","58.89","58.2","56.68","59.17","60.4","60.12","60.71","61.75","63.17","64.68","64.35","65.33","72.65","71.97","73.08"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Закарпатська","Антибіотики імпортні","Місячна","195.25","195.17","196.46","195.46","209.97","215.51","216.88","220.53","223.18","217.42","227.55","252.36","253.88","263.86","272.52","276.73"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Закарпатська","Судинорозширювальні засоби вітчизняні","Місячна","14.44","14.55","14.62","14.85","15.31","15.39","15.54","15.53","15.73","16.02","16.14","16.31","16.76","16.87","16.6","17.23"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Закарпатська","Судинорозширювальні засоби імпортні","Місячна","66.71","67.83","70.31","70.28","71.9","73.29","74.13","75.11","76.51","77.27","77.93","78.42","78.66","79.08","80.6","82.52"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Закарпатська","Жарознижувальні та знеболювальні препарати вітчизняні","Місячна","21.77","21.74","22.23","23.63","24.29","24.17","24.3","24.3","24.48","25.12","25.54","26.65","27.73","26.79","24.78","24.38"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Закарпатська","Жарознижувальні та знеболювальні препарати імпортні","Місячна","26.73","27.05","27.74","28.63","28.4","29.13","29.34","30.06","30.06","30.72","31.18","32.34","32.93","33.1","33.8","33.98"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Закарпатська","Стоматологічні послуги","Місячна","1067.83","1073.77","1080.48","1094.68","1099.71","1199.58","1199.58","1207.62","1213.48","1227.35","1246.89","1342.11","1366.21","1375.96","1388.08","1399.65"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Закарпатська","Бензин А-92","Місячна","47.3","47.2","48.58","50.52","52.09","52.58","52.77","52.88","52.89","52.89","52.63","51.69","52.8","52.41","53.15","53.17"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Закарпатська","Бензин А-95","Місячна","50.07","49.89","51.3","53.27","55.03","55.41","55.58","55.71","55.71","55.36","54.75","54.61","55.22","56.17","55.52","53.7"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Закарпатська","Дизельне пальне","Місячна","50.1","50.14","51.13","52.92","52.26","51.45","51.64","51.77","51.64","51.23","50.7","50.57","52.6","53.95","53.79","52.57"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Закарпатська","Газ скраплений для автомобілів","Місячна","27.87","26.39","27.56","27.42","26.22","25.84","26.23","27.63","30.23","33.6","34.61","34.92","35.79","36.73","36.35","35.18"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Закарпатська","Проїзд у міському транспорті","Місячна","","","","","","","","","","","","","","","15","15"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Закарпатська","Дошкільна освіта","Місячна","64.69","67.73","67.73","67.73","67.73","67.73","67.73","67.73","67.73","67.73","67.73","67.73","70.95","70.95","70.95","70.95"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Закарпатська","Послуги у сфері страхування особистого транспорту","Місячна","1294.07","1300.06","1321.8","1350.34","1383.12","1380.67","1409.46","1419.52","1485","1513.41","1513.41","1513.41","3670.41","3670.41","3696.77","3729.09"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Запорізька","Рис","Місячна","53.85","56.67","54.87","55.81","57.73","59.1","58.82","58.01","57.34","58.07","58.83","60.58","58.44","60.64","59.97","60.85"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Запорізька","Хліб пшеничний з борошна вищого ґатунку","Місячна","51.74","51.2","51.25","53.01","53.36","54.01","54.87","56.52","56.32","57.72","59.84","59.2","59.2","59.2","61.03","61.93"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Запорізька","Хліб пшеничний з борошна першого ґатунку","Місячна","31.36","31.34","32.48","32.82","32.82","32.6","33.65","34.73","35.99","36.26","37.4","38.1","38.31","38.68","38.93","39.44"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Запорізька","Хліб житній, житньо-пшеничний","Місячна","56.54","52.77","53.74","54.25","54.25","54.25","55.72","56.32","57.24","60.84","60.84","63.98","65.28","65.96","67.61","66.54"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Запорізька","Батон","Місячна","23.08","23.3","23.81","23.32","23.78","24.17","24.17","25.75","25.5","26.84","27.85","27.71","29.95","30.98","30.98","31.35"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Запорізька","Макаронні вироби з м’яких сортів пшениці","Місячна","29.71","30.44","30.78","29.74","28.72","29.25","29.06","32.75","33.8","34.57","34.85","35.16","34.36","35.19","35.19","35.78"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Запорізька","Борошно пшеничне","Місячна","16.35","16.55","16.62","16.28","15.82","16.42","16.48","16.52","18.28","19.14","19.43","20.49","21.51","21.75","22.24","22.1"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Запорізька","Крупи манні","Місячна","22.91","21.48","21.06","21.7","23.79","23.79","24.56","24.76","24.28","24.06","26.03","27.29","27.38","27.49","27.49","28.58"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Запорізька","Крупи гречані","Місячна","32.9","29.87","29.26","28.32","28.32","30.36","31.18","31.02","32.19","34.46","37.26","38.35","36.93","37.04","36.79","38.9"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Запорізька","Крупи ячні","Місячна","19.04","18.92","19.63","19.1","19.4","20.01","20.61","22.6","21.99","23.28","24.76","24.17","27.78","26.96","26.96","28.03"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Запорізька","Пшоно","Місячна","34.18","30.72","30.27","30.52","30.88","29.97","29.95","29.71","29.09","29.96","30.66","31.6","31","31.13","30.58","31.62"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Запорізька","Крупи пшеничні","Місячна","28.8","24.09","23.32","23.54","23.72","23.91","25.44","24.82","24.89","24.38","25.33","27.63","29.62","30.25","30.25","31"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Запорізька","Яловичина","Місячна","252.1","269.76","274.07","272.96","265.76","264.24","258.04","258.13","257.65","260.07","266.03","271.44","271.29","274.78","283.21","298.97"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Запорізька","Свинина","Місячна","185.16","183.12","181.12","184.06","182.67","179.53","179.54","186.93","184.45","184.96","181.73","179.61","182.6","183.84","195.19","211.29"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Запорізька","Птиця (тушки курячі)","Місячна","86.93","87.3","87.18","88.96","88.08","89.08","86.7","86.69","86.16","92.67","91.17","92.79","90.87","88.59","94.85","101.02"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Запорізька","Філе куряче","Місячна","159.37","159.01","160.85","158.95","161.27","161.73","161.76","164","169.94","171.02","169.47","174.88","162.46","171.69","176.54","182.7"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Запорізька","Ковбаси варені першого ґатунку","Місячна","173.49","178.06","165.08","160.17","156.03","153.91","156.76","158.76","162.7","171.48","166.88","181.87","171.97","184.44","189.29","194.66"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Запорізька","Риба морожена","Місячна","184","176.18","176.61","183.84","184.42","197.6","186","189.16","191.93","198.58","194.93","201.51","201.61","202.36","202.84","206.12"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Запорізька","Молоко пастеризоване жирністю до 2,6% включно","Місячна","38.67","38.96","39.03","38.31","38.8","39.2","38.03","39.52","40.91","43.15","44.48","50.39","49.59","48.24","50.85","51.52"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Запорізька","Сири м’які жирні","Місячна","165.11","196.74","198.93","198.72","194.09","194.4","184.18","190.35","192.85","197.55","199.67","217.46","228.02","231.09","237.88","239.63"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Запорізька","Сметана жирністю до 15% включно","Місячна","111.5","114.15","117.29","117.86","119.71","120.43","116.99","119.27","127.41","128.92","134.62","146.4","147","153.15","151.49","147.67"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Запорізька","Яйця","Місячна","54.16","56.97","51.1","43.01","34.05","39.72","34.63","35.67","41.84","45.42","73.7","70.63","57.24","56.06","66.36","64.27"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Запорізька","Масло вершкове","Місячна","76.44","76.45","75.97","78.42","80.05","82.88","82.77","84.1","87.04","95.08","97.89","102.93","107.09","115.51","112.67","112.71"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Запорізька","Олія соняшникова","Місячна","53.72","56.72","52.71","54.47","54.86","53.86","55.26","56.89","57.88","60.92","65.98","68.88","71.66","74.03","75.24","74.33"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Запорізька","Сало","Місячна","197.27","193","186.7","178.05","175.3","175.19","173","170.62","172.12","171.78","176.79","180.22","182.17","177.5","176.53","175.57"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Запорізька","Яблука","Місячна","24.84","25.82","26.3","27.24","27.68","29.55","30.49","33.69","30.48","31.73","43.13","42.33","44.99","45.66","49.43","53.09"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Запорізька","Капуста білокачанна","Місячна","15.08","15.22","14.45","15.15","16.85","11.88","14.16","31.5","30.81","32.21","31.53","36.01","41.54","48.25","48.99","50.68"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Запорізька","Цибуля ріпчаста","Місячна","17.28","17.93","17.71","17.25","28.61","27.78","15.13","17.31","15.52","15.9","17.3","17.65","17","15.75","15.56","18.81"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Запорізька","Буряк","Місячна","16.73","16.98","16.34","17.48","25.53","37.12","20.04","14.83","14.95","17.95","18.53","19.66","22.21","22.63","23.8","28.83"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Запорізька","Морква","Місячна","14.78","14.84","12.62","11.86","19.02","35.26","22.27","14.78","17.21","22.34","28.93","29.87","33.92","34.9","37.55","41.09"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Запорізька","Картопля","Місячна","22.58","24.31","24.24","23.71","25.65","30.02","21.54","21.45","22.81","27.68","31.25","31.19","31.96","30.73","30.8","31.5"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Запорізька","Цукор","Місячна","32.82","32.59","31.25","31.27","31.23","31.84","34.29","35.18","36.69","34.39","34.42","34.66","34.4","34.07","33.96","34.43"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Запорізька","Молочні суміші для дитячого харчування","Місячна","205.58","192.2","196.3","196.3","200.52","195.68","193.66","199.61","201.12","199.27","195.92","197.57","200.26","197.27","194.85","201.3"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Запорізька","Горілка","Місячна","112.47","109.77","110.58","110.24","111.1","111.76","110.95","111.38","111.49","113.64","110.8","112.64","114.65","116.91","116.67","114.49"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Запорізька","Вина столові вітчизняні","Місячна","114.01","121.77","117.35","115.18","117.41","116.82","113.69","114.19","117.09","116.65","119.98","115.52","115.05","117.79","113.8","117.45"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Запорізька","Пиво вітчизняних марок","Місячна","31.68","32.23","30.62","30.1","28.38","29.75","31.62","30.74","32.39","32.68","31.92","32.92","35.13","34.92","36.01","36.48"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Запорізька","Сигарети з фільтром вітчизняних марок","Місячна","82.42","81.11","81.11","83.17","84.25","86.58","86.58","89.66","96.15","97.69","97.69","100.4","103.24","103.24","104.03","108.69"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Запорізька","Сигарети з фільтром медіум класу","Місячна","86.07","89.24","91.28","91.28","91.28","91.95","93.55","90.4","99.27","100.89","103.72","108.65","109.66","111.77","114.63","117.52"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Запорізька","Сигарети з фільтром преміум класу","Місячна","99.62","103.66","103.66","103.66","105.61","108.87","108.87","111.81","115.76","116.67","119.7","123.62","127.56","129.71","132.8","136.73"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Запорізька","Сигарети без фільтру","Місячна","","","","","","","","","","","","","","","",""
"Середні споживчі ціни на товари (послуги)","Не застосовується","Запорізька","Плата за оренду 1-кімнатної квартири","Місячна","3561.62","3561.62","3609.5","3655.81","3684.42","3719.71","3719.71","3719.71","3719.71","3719.71","3719.71","3623.2","3623.2","3623.2","3623.19","3665.57"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Запорізька","Антибіотики вітчизняні","Місячна","47.97","47.7","48.67","48.35","51.51","51.36","50.08","53.95","54.37","56.65","56.08","58.99","61.31","62.15","66.63","67.51"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Запорізька","Антибіотики імпортні","Місячна","198.01","197.52","204.43","213.04","229.89","230.2","229.79","236.8","239.38","226.4","217.95","219.92","245.27","246.6","255.36","256.82"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Запорізька","Судинорозширювальні засоби вітчизняні","Місячна","15.16","15.29","15.54","15.71","15.89","15.89","15.6","15.88","15.72","15.94","15.99","16.76","17.66","17.78","18.26","18.22"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Запорізька","Судинорозширювальні засоби імпортні","Місячна","68.95","69.21","68.79","69.2","70.84","72.87","73.99","74.87","77.33","77.81","75.86","76.71","75.87","74.53","76.29","76.99"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Запорізька","Жарознижувальні та знеболювальні препарати вітчизняні","Місячна","17.88","17.65","18.01","17.9","19.02","18.91","18.04","19.37","19.44","19.27","18.89","19.97","22.76","23.66","23.55","22.57"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Запорізька","Жарознижувальні та знеболювальні препарати імпортні","Місячна","25.81","25.86","26.61","26.91","27.58","27.5","27.87","27.86","27.72","27.54","28.01","28.02","29.76","29.67","32.17","31.3"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Запорізька","Стоматологічні послуги","Місячна","1386.65","1390.68","1453.92","1476.1","1476.1","1476.1","1453.53","1453.53","1481.12","1481.12","1481.12","1481.12","1562.53","1588.85","1611.75","1661.73"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Запорізька","Бензин А-92","Місячна","46.89","46.66","46.88","49.07","49.83","50.14","50.81","50.73","50.79","51.95","51.85","51.85","52.23","52.34","51.5","51.06"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Запорізька","Бензин А-95","Місячна","48.9","48.75","49.31","51.58","53.02","53.53","53.95","54.2","54.17","55.15","54.64","54.21","54.68","55.04","54.76","53.61"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Запорізька","Дизельне пальне","Місячна","50.69","50.77","51.59","53.78","53.25","52.27","52.46","52.79","52.79","52.58","51.81","52.22","53.96","55.08","54.93","53.26"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Запорізька","Газ скраплений для автомобілів","Місячна","28.51","27.11","27.7","27.83","26.84","26.29","26.77","28.03","30.43","33.97","34.84","35.11","35.98","36.53","36.18","35.05"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Запорізька","Проїзд у міському транспорті","Місячна","8.49","8.49","8.49","8.49","8.49","9.66","10","10","10","10","10","10","10","10","13.55","15"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Запорізька","Дошкільна освіта","Місячна","42.3","42.3","42.3","42.3","42.3","42.3","42.3","42.3","81.13","81.13","81.13","81.13","81.13","81.13","81.13","81.13"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Запорізька","Послуги у сфері страхування особистого транспорту","Місячна","1700.56","1700.56","1825.3","1842.4","2110.01","2129.39","2129.39","2215.37","2215.37","2215.37","2215.37","2215.37","4204.68","4203.39","4245.04","4245.04"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Івано-Франківська","Рис","Місячна","54.87","55.57","56.46","56.48","55.4","55.92","54.92","57.08","56.62","57.15","59.8","60.45","57.87","57.11","56.58","54.27"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Івано-Франківська","Хліб пшеничний з борошна вищого ґатунку","Місячна","45.89","47.63","48.32","50.22","50.57","51.67","51.68","51.14","54.01","54.45","55.25","59.26","59.55","60.45","61.87","63.99"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Івано-Франківська","Хліб пшеничний з борошна першого ґатунку","Місячна","36.57","36.7","37.04","37.91","37.74","38.41","38.41","38.41","39.81","40.51","41.26","42.64","42.7","43.05","45.77","45.77"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Івано-Франківська","Хліб житній, житньо-пшеничний","Місячна","30.43","31.82","31.82","32.58","33","35.92","35.52","37.06","38.77","38.77","40.92","41.62","42.3","42.61","43.62","43.93"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Івано-Франківська","Батон","Місячна","23.42","23.42","23.56","23.7","23.77","23.95","24.59","24.59","27.24","27.45","28.85","29.66","29.66","30.04","30.74","30.74"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Івано-Франківська","Макаронні вироби з м’яких сортів пшениці","Місячна","27.89","26.73","27.31","27.67","27.39","26.7","27.39","30.06","29.73","29.86","30.68","31.44","31.9","31.69","32.28","32.66"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Івано-Франківська","Борошно пшеничне","Місячна","14.55","14.44","14.18","14.19","14.11","14.25","15.09","16.71","17.46","17.68","18.3","18.95","19.26","19.26","19.41","19.36"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Івано-Франківська","Крупи манні","Місячна","19.25","19.96","20.2","20.43","20.15","20.46","21.22","21.95","21.91","22.81","23.65","24.19","23.83","25.49","25.45","25.34"
